song,date
/single/Close%20To%20Me/Ellie%20Goulding%20X%20Diplo%20Featuring%20Swae%20Lee/,2019-01-12
/single/You%20Say/Lauren%20Daigle/,2019-01-12
/single/Uproar/Lil%20Wayne/,2019-01-12
/single/A%20Lot/21%20Savage/,2019-01-12
/single/Best%20Shot/Jimmie%20Allen/,2019-01-12
/single/Swervin/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%206ix9ine/,2019-01-12
/single/Drunk%20Me/Mitchell%20Tenpenny/,2019-01-12
/single/Be%20Alright/Dean%20Lewis/,2019-01-12
/single/Sweet%20But%20Psycho/Ava%20Max/,2019-01-12
/single/Sixteen/Thomas%20Rhett/,2019-01-12
/single/Talk%20To%20Me/Tory%20Lanez%20%26%20Rich%20The%20Kid/,2019-01-12
/single/Backin%27%20It%20Up/Pardison%20Fontaine%20Featuring%20Cardi%20B/,2019-01-12
/single/Burning%20Man/Dierks%20Bentley%20Featuring%20Brothers%20Osborne/,2019-01-12
/single/Dangerous/Meek%20Mill%20Featuring%20Jeremih%20%26%20PnB%20Rock/,2019-01-12
/single/Good%20Girl/Dustin%20Lynch/,2019-01-12
/single/Beautiful%20Crazy/Luke%20Combs/,2019-01-12
/single/Nothing%20Breaks%20Like%20A%20Heart/Mark%20Ronson%20Featuring%20Miley%20Cyrus/,2019-01-12
/single/This%20Feeling/The%20Chainsmokers%20Featuring%20Kelsea%20Ballerini/,2019-01-12
/single/Consequences/Camila%20Cabello/,2019-01-12
/single/Girl%20Like%20You/Jason%20Aldean/,2019-01-12
/single/Last%20Shot/Kip%20Moore/,2019-01-12
/single/Look%20Back%20At%20It/A%20Boogie%20Wit%20da%20Hoodie/,2019-01-12
/single/Arms%20Around%20You/XXXTENTACION%20x%20Lil%20Pump%20Featuring%20Maluma%20%26%20Swae%20Lee/,2019-01-12
/single/Armed%20and%20Dangerous/Juice%20WRLD/,2019-01-12
/single/This%20Is%20It/Scotty%20McCreery/,2019-01-12
/single/Calling%20My%20Spirit/Kodak%20Black/,2019-01-12
/single/You/Jacquees/,2019-01-12
/single/No%20Stylist/French%20Montana%20Featuring%20Drake/,2019-01-12
/single/Startender/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Offset%20%26%20Tyga/,2019-01-12
/single/Electricity/Silk%20City%20x%20Dua%20Lipa/,2019-01-12
/single/Imagine/Ariana%20Grande/,2019-01-12
/single/Ella%20Quiere%20Beber/Anuel%20AA%20%26%20Romeo%20Santos/,2019-01-12
/single/Can%27t%20Leave%20Without%20It/21%20Savage/,2019-01-12
/single/Envy%20Me/Calboy/,2019-01-12
/single/Smile%20%28Living%20My%20Best%20Life%29/Lil%27%20Duval%20Featuring%20Snoop%20Dogg%20%26%20Ball%20Greezy/,2019-01-12
/single/When%20The%20Party%27s%20Over/Billie%20Eilish/,2019-01-12
/single/Millionaire/Chris%20Stapleton/,2019-01-12
/single/BAD%21/XXXTENTACION/,2019-01-12
/single/Lost%20In%20Japan/Shawn%20Mendes%20X%20Zedd/,2019-01-12
/single/Pure%20Cocaine/Lil%20Baby/,2019-01-12
/single/Lovely/Billie%20Eilish%20%26%20Khalid/,2019-01-12
/single/Fine%20China/Future%20%26%20Juice%20WRLD/,2019-01-12
/single/Take%20It%20From%20Me/Jordan%20Davis/,2019-01-12
/single/What%20Makes%20You%20Country/Luke%20Bryan/,2019-01-12
/single/Yosemite/Travis%20Scott/,2019-01-12
/single/Monster/21%20Savage/,2019-01-12
/single/Blue%20Tacoma/Russell%20Dickerson/,2019-01-12
/single/Down%20To%20The%20Honkytonk/Jake%20Owen/,2019-01-12
/single/Close%20Friends/Lil%20Baby/,2019-01-12
/single/Love%20Someone/Lukas%20Graham/,2019-01-12
/single/Love%20Wins/Carrie%20Underwood/,2019-01-12
/single/KIKA/6ix9ine%20Featuring%20Tory%20Lanez/,2019-01-12
/single/Nuketown/Ski%20Mask%20The%20Slump%20God%20Featuring%20Juice%20WRLD/,2019-01-12
/single/Ruin%20My%20Life/Zara%20Larsson/,2019-01-12
/single/Body/Loud%20Luxury%20Featuring%20Brando/,2019-01-12
/single/Dip/Tyga%20%26%20Nicki%20Minaj/,2019-01-12
/single/Good%20Form/Nicki%20Minaj%20Featuring%20Lil%20Wayne/,2019-01-12
/single/Demons%20and%20Angels/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Juice%20WRLD/,2019-01-12
/single/Here%20Tonight/Brett%20Young/,2019-01-12
/single/Burn%20Out/Midland/,2019-01-12
/single/Solo%20de%20Mi/Bad%20Bunny/,2019-01-12
/single/Lucky%20You/Eminem%20Featuring%20Joyner%20Lucas/,2019-01-12
/single/Roses/Benny%20Blanco%20%26%20Juice%20WRLD%20Featuring%20Brendon%20Urie/,2019-01-12
/single/whoa%20%28mind%20in%20awe%29/XXXTENTACION/,2019-01-12
/single/All%20My%20Friends/21%20Savage/,2019-01-12
/single/Make%20It%20Sweet/Old%20Dominion/,2019-01-12
/single/Ocean%20Eyes/Billie%20Eilish/,2019-01-12
/single/idontwannabeyouanymore/Billie%20Eilish/,2019-01-12
/single/Sunflower%20%28Spider-Man%3A%20Into%20The%20Spider-Verse%29/Post%20Malone%20%26%20Swae%20Lee/,2019-01-19
/single/Without%20Me/Halsey/,2019-01-19
/single/Thank%20U%2C%20Next/Ariana%20Grande/,2019-01-19
/single/Sicko%20Mode/Travis%20Scott/,2019-01-19
/single/High%20Hopes/Panic%21%20At%20The%20Disco/,2019-01-19
/single/Happier/Marshmello%20%26%20Bastille/,2019-01-19
/single/Girls%20Like%20You/Maroon%205%20Featuring%20Cardi%20B/,2019-01-19
/single/Drip%20Too%20Hard/Lil%20Baby%20%26%20Gunna/,2019-01-19
/single/Eastside/Benny%20Blanco%2C%20Halsey%20%26%20Khalid/,2019-01-19
/single/ZEZE/Kodak%20Black%20Featuring%20Travis%20Scott%20%26%20Offset/,2019-01-19
/single/Wow./Post%20Malone/,2019-01-19
/single/Wake%20Up%20In%20The%20Sky/Gucci%20Mane%20x%20Bruno%20Mars%20x%20Kodak%20Black/,2019-01-19
/single/Better%20Now/Post%20Malone/,2019-01-19
/single/Mo%20Bamba/Sheck%20Wes/,2019-01-19
/single/Breathin/Ariana%20Grande/,2019-01-19
/single/Youngblood/5%20Seconds%20Of%20Summer/,2019-01-19
/single/Money/Cardi%20B/,2019-01-19
/single/Going%20Bad/Meek%20Mill%20Featuring%20Drake/,2019-01-19
/single/Taki%20Taki/DJ%20Snake%20Featuring%20Selena%20Gomez%2C%20Ozuna%20%26%20Cardi%20B/,2019-01-19
/single/MIA/Bad%20Bunny%20Featuring%20Drake/,2019-01-19
/single/Leave%20Me%20Alone/Flipp%20Dinero/,2019-01-19
/single/Lucid%20Dreams/Juice%20WRLD/,2019-01-19
/single/Shallow/Lady%20Gaga%20%26%20Bradley%20Cooper/,2019-01-19
/single/Better/Khalid/,2019-01-19
/single/Speechless/Dan%20%2B%20Shay/,2019-01-19
/single/Trip/Ella%20Mai/,2019-01-19
/single/Beautiful/Bazzi%20Featuring%20Camila%20Cabello/,2019-01-19
/single/Love%20Lies/Khalid%20%26%20Normani/,2019-01-19
/single/Natural/Imagine%20Dragons/,2019-01-19
/single/I%20Like%20It/Cardi%20B%2C%20Bad%20Bunny%20%26%20J%20Balvin/,2019-01-19
/single/Close%20To%20Me/Ellie%20Goulding%20X%20Diplo%20Featuring%20Swae%20Lee/,2019-01-19
/single/She%20Got%20The%20Best%20Of%20Me/Luke%20Combs/,2019-01-19
/single/A%20Lot/21%20Savage/,2019-01-19
/single/You%20Say/Lauren%20Daigle/,2019-01-19
/single/Undecided/Chris%20Brown/,2019-01-19
/single/Uproar/Lil%20Wayne/,2019-01-19
/single/Sweet%20But%20Psycho/Ava%20Max/,2019-01-19
/single/Baby%20Shark/Pinkfong/,2019-01-19
/single/Best%20Shot/Jimmie%20Allen/,2019-01-19
/single/Swervin/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%206ix9ine/,2019-01-19
/single/Beautiful%20Crazy/Luke%20Combs/,2019-01-19
/single/Be%20Alright/Dean%20Lewis/,2019-01-19
