date,track,artist
2019-01-19,Yosemite,Travis Scott
2019-01-19,Fine China,Future   Juice WRLD
2019-01-19,Imagine,Ariana Grande
2019-01-19,What Makes You Country,Luke Bryan
2019-01-19,Down To The Honkytonk,Jake Owen
2019-01-19,Ruin My Life,Zara Larsson
2019-01-19,BAD,XXXTENTACION
2019-01-19,Smile  Living My Best Life,Lil  Duval  Snoop Dogg   Ball Greezy
2019-01-19,Blue Tacoma,Russell Dickerson
2019-01-19,Body,Loud Luxury  Brando
2019-01-19,Butterfly Doors,Lil Pump
2019-01-19,Love Someone,Lukas Graham
2019-01-19,Space Cadet,Metro Boomin  Gunna
2019-01-19,Lost In Japan,Shawn Mendes Zedd
2019-01-19,Love Wins,Carrie Underwood
2019-01-19,Nuketown,Ski Mask The Slump God  Juice WRLD
2019-01-19,Valuable Pain,YoungBoy Never Broke Again
2019-01-19,Here Tonight,Brett Young
2019-01-19,Close Friends,Lil Baby
2019-01-19,Monster,21 Savage
2019-01-19,Roses,Benny Blanco   Juice WRLD  Brendon Urie
2019-01-19,Make It Sweet,Old Dominion
2019-01-19,Burn Out,Midland
2019-01-19,Good Form,Nicki Minaj  Lil Wayne
2019-01-19,Demons and Angels,A Boogie Wit da Hoodie  Juice WRLD
2019-01-19,KIKA,6ix9ine  Tory Lanez
2019-01-19,Ocean Eyes,Billie Eilish
2019-01-19,idontwannabeyouanymore,Billie Eilish
2019-01-19,Dip,Tyga   Nicki Minaj
2019-01-19,Lucky You,Eminem  Joyner Lucas
2019-01-26,Without Me,Halsey
2019-01-26,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee
2019-01-26,Sicko Mode,Travis Scott
2019-01-26,High Hopes,Panic  At The Disco
2019-01-26,Thank U  Next,Ariana Grande
2019-01-26,Happier,Marshmello   Bastille
2019-01-26,Girls Like You,Maroon 5  Cardi B
2019-01-26,Drip Too Hard,Lil Baby   Gunna
2019-01-26,Wow.,Post Malone
2019-01-26,ZEZE,Kodak Black  Travis Scott   Offset
2019-01-26,Eastside,Benny Blanco  Halsey   Khalid
