date,track,artist,URI
2019-01-12,Body,Loud Luxury  Brando,spotify:track:21RzyxY3EFaxVy6K4RqaU9
2019-01-12,Dip,Tyga   Nicki Minaj,spotify:track:73xXDeBMlC5cdvWoOLWVLo
2019-01-12,Good Form,Nicki Minaj  Lil Wayne,spotify:track:6supMAknraGpJrN5qqYfV8
2019-01-12,Here Tonight,Brett Young,spotify:track:38nVuIj9mi5a8oopOJhSJk
2019-01-12,Burn Out,Midland,spotify:track:7yrJnekdlwWARt5lmVqJ6L
2019-01-12,Solo de Mi,Bad Bunny,spotify:track:4uP3pUP18ennmz0tb3GphR
2019-01-12,Lucky You,Eminem  Joyner Lucas,spotify:track:60SdxE8apGAxMiRrpbmLY0
2019-01-12,Roses,Benny Blanco   Juice WRLD  Brendon Urie,spotify:track:1KVczjazCcCCgM3gXXUl47
2019-01-12,whoa  mind in awe,XXXTENTACION,spotify:track:7pdF27mSDuPWhppnHAmWHa
2019-01-12,Make It Sweet,Old Dominion,spotify:track:3Mnr3yyQk1aUPYgbpOQE31
2019-01-12,Ocean Eyes,Billie Eilish,spotify:track:2uIX8YMNjGMD7441kqyyNU
2019-01-12,idontwannabeyouanymore,Billie Eilish,spotify:track:41zXlQxzTi6cGAjpOXyLYH
2019-01-19,Undecided,Chris Brown,spotify:track:58oryymPZNdtS2z8Une6NJ
2019-01-19,Crushed Up,Future,spotify:track:7wcyO1rrH3Ru4t659IjG41
2019-01-19,Butterfly Doors,Lil Pump,spotify:track:5X4c1AVbFfl8u36AE5QLCI
2019-01-19,Space Cadet,Metro Boomin  Gunna,spotify:track:1fewSx2d5KIZ04wsooEBOz
2019-01-19,Valuable Pain,YoungBoy Never Broke Again,spotify:track:61Oo3DUJubecZQosjho6Pp
2019-01-26,Lost In The Fire,Gesaffelstein   The Weeknd,spotify:track:2vXKRlJBXyOcvZYTdNeckS
2019-01-26,Dancing With A Stranger,Sam Smith   Normani,spotify:track:3xgT3xIlFGqZjYW9QlhJWp
2019-01-26,Twerk,City Girls  Cardi B,spotify:track:0RRm4OS5ymfZryXBuj0G2m
2019-01-26,Saturday Nights,Khalid   Kane Brown,spotify:track:0W5oXFrxZNBTIS1eMW9Ofz
2019-01-26,Nights Like This,Kehlani  Ty Dolla $ign,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy
2019-01-26,Thotiana,Blueface,spotify:track:1rBjexQsgqXpsS2BrCxaDX
2019-01-26,Let Me Down Slowly,Alec Benjamin   Alessia Cara,spotify:track:1roCmBlcpV7LzsmB7pmCyt
2019-01-26,Jumpin On A Jet,Future,spotify:track:1I3ZAmPmbFV78oNKnibOiW
