date,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,error
2019-01-05,Uproar,Lil Wayne,0.743,0.87,1.0,-2.188,1.0,0.212,0.0595,0.0,0.299,0.884,99.079,3wScL5W8H40zzCKN0atfBk,194184.0,4.0,
2019-01-05,Swervin,A Boogie Wit da Hoodie  6ix9ine,0.581,0.662,9.0,-5.239,1.0,0.303,0.0153,0.0,0.111,0.434,93.023,1wJRveJZLSb1rjhnUHQiv6,189487.0,4.0,
2019-01-05,Can t Leave Without It,21 Savage,0.872,0.591,6.0,-6.952,0.0,0.359,0.111,0.0,0.144,0.696,131.982,0hPLZrnDgtKxrym1BHjDhd,205352.0,4.0,
2019-01-05,You Say,Lauren Daigle,0.494,0.632,5.0,-6.89,1.0,0.0342,0.682,0.0,0.0869,0.0797,147.873,6Up545NUflOiXo8cEraH49,274693.0,4.0,
2019-01-05,Close To Me,Ellie Goulding Diplo  Swae Lee,0.572,0.75,1.0,-5.042,0.0,0.0604,0.0946,0.0,0.378,0.475,144.081,2GjMaJ7DacMIkgoe8oMXGg,182627.0,4.0,
2019-01-05,Best Shot,Jimmie Allen,0.629,0.464,4.0,-8.72,1.0,0.0334,0.75,0.0,0.0853,0.523,156.051,3eDNb3ZG3gKgjAAgJBcOL8,195053.0,4.0,
2019-01-05,Dangerous,Meek Mill  Jeremih   PnB Rock,0.734,0.493,0.0,-7.528,1.0,0.308,0.0467,0.0,0.0477,0.562,86.043,3lb5fWSG2p7x8ik8HN9oFR,233750.0,4.0,
2019-01-05,Be Alright,Dean Lewis,0.551,0.537,11.0,-7.595,1.0,0.034,0.705,0.0,0.0802,0.493,126.421,5qrSlOut2rNAWv3ubArkNy,196493.0,4.0,
2019-01-05,Drunk Me,Mitchell Tenpenny,0.499,0.797,2.0,-3.77,1.0,0.0554,0.199,0.0,0.0933,0.408,176.024,1G4cdOtF36ZCs6i2dZoC87,211768.0,4.0,
2019-01-05,Startender,A Boogie Wit da Hoodie  Offset   Tyga,0.736,0.622,6.0,-4.653,0.0,0.133,0.0235,0.0,0.151,0.506,191.971,0jAfdqv18goRTUxm3ilRjb,192779.0,4.0,
2019-01-05,Look Back At It,A Boogie Wit da Hoodie,0.791,0.587,3.0,-5.075,0.0,0.0413,0.407,0.0,0.148,0.536,96.057,3Ol2xnObFdKV9pmRD2t9x8,179449.0,4.0,
2019-01-05,All My Friends,21 Savage,0.713,0.62,0.0,-4.513,1.0,0.0422,0.171,1.16e-06,0.118,0.206,130.09,4paAidoE8VAemwU4jgCc6l,211785.0,4.0,
2019-01-05,BAD,XXXTENTACION,0.78,0.492,5.0,-3.4,0.0,0.0671,0.0643,0.0313,0.174,0.374,143.983,22An65gG31JLf9n18qjdhZ,94246.0,4.0,
2019-01-05,Backin  It Up,Pardison Fontaine  Cardi B,0.796,0.68,10.0,-4.853,0.0,0.353,0.0886,0.0,0.268,0.565,164.932,0PpfPNtQOOvbMNVJijTQj0,190466.0,4.0,
2019-01-05,Break Da Law,21 Savage,0.904,0.575,1.0,-7.823,1.0,0.346,0.0493,0.0,0.256,0.359,141.037,5ZSIExfQuVv69tw5Qw3yDl,177748.0,4.0,
2019-01-05,Imagine,Ariana Grande,0.729,0.475,8.0,-4.985,1.0,0.0364,0.378,0.0,0.12,0.371,62.52,39LmTF9RgyakzSYX8txrow,212267.0,3.0,
2019-01-05,Talk To Me,Tory Lanez   Rich The Kid,0.731,0.657,0.0,-8.56,1.0,0.0434,0.0591,0.0,0.0874,0.49,159.97,2QihWAl9xAwGPm5vGoO7uM,184490.0,4.0,
2019-01-05,Monster,21 Savage,0.89,0.607,9.0,-6.916,0.0,0.124,0.158,0.000228,0.118,0.224,134.022,2FUNBaa5DwItJtYEBgAblU,233040.0,4.0,
2019-01-05,Calling My Spirit,Kodak Black,0.91,0.366,1.0,-9.954,1.0,0.0941,0.0996,0.0,0.261,0.74,119.985,2MShy1GSSgbmGUxADNIao5,152000.0,4.0,
2019-01-05,Consequences,Camila Cabello,0.455,0.292,0.0,-6.792,1.0,0.0563,0.889,0.0,0.106,0.43,84.339,7sTtHHrD0zDpmzQzH3zegz,178467.0,5.0,
2019-01-05,Armed and Dangerous,Juice WRLD,0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,5wujBwqG7INdStqGd4tRMX,169999.0,4.0,
2019-01-05,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee,0.703,0.723,9.0,-5.45,0.0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,2LskIZrCeLxRvCiGP8gxlh,198903.0,4.0,
2019-01-05,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus,0.601,0.794,7.0,-5.844,0.0,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,02dRkCEc8Q5ch4TTcnLxOn,217099.0,4.0,
2019-01-05,Sixteen,Thomas Rhett,0.705,0.531,1.0,-7.031,1.0,0.0281,0.0135,2.11e-06,0.165,0.425,107.013,3pJkBPHadRAxBBo484RipI,178333.0,4.0,
2019-01-05,Burning Man,Dierks Bentley  Brothers Osborne,0.609,0.807,5.0,-7.221,1.0,0.0972,0.00403,5.42e-06,0.0926,0.492,119.073,4a1oIihVt6xSnDRpgX387M,238493.0,4.0,
2019-01-05,Beautiful Crazy,Luke Combs,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,2rxQMGVafnNaRaXlRMWPde,193200.0,4.0,
2019-01-05,When The Party s Over,Billie Eilish,0.367,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,43zdsphuZLzwA9k4DJhU0I,196077.0,4.0,
2019-01-05,Sweet But Psycho,Ava Max,0.72,0.706,1.0,-4.719,1.0,0.0473,0.0684,0.0,0.166,0.62,133.002,7DnAm9FOTWE3cUvso43HhI,187436.0,4.0,
2019-01-05,This Feeling,The Chainsmokers  Kelsea Ballerini,0.575,0.571,1.0,-7.906,1.0,0.0439,0.0558,0.0,0.0912,0.449,105.049,4NBTZtAt1F13VvlSKe6KTl,197947.0,4.0,
2019-01-05,You,Jacquees,0.735,0.453,8.0,-8.264,0.0,0.0602,0.413,0.0,0.104,0.335,115.002,01jIO8SJFnpSiNLH1JaBZ5,217387.0,4.0,
2019-01-05,1.5,21 Savage,0.885,0.52,1.0,-8.353,1.0,0.359,0.000244,1.16e-06,0.454,0.306,84.022,2wOXxtHZgRkkrkEbKLzzqs,148656.0,4.0,
2019-01-05,Girl Like You,Jason Aldean,0.543,0.88,3.0,-4.204,0.0,0.0366,0.035,0.000223,0.304,0.483,144.051,6ozPVrrStfjZMlg6bnLegx,193067.0,4.0,
2019-01-05,Out For The Night,21 Savage,0.593,0.632,6.0,-5.381,0.0,0.541,0.0133,0.0,0.64,0.0789,173.369,4B8vU5oDXVxO5OkLAI4aLx,235232.0,4.0,
2019-01-05,Good Girl,Dustin Lynch,0.711,0.696,7.0,-5.05,1.0,0.0869,0.16,0.0,0.17,0.694,80.512,3NgcaTIgVh77DdwAInp996,189533.0,4.0,
2019-01-05,No Stylist,French Montana  Drake,0.765,0.704,5.0,-4.589,0.0,0.127,0.0215,0.0,0.227,0.498,147.055,04MLEeAMuV9IlHEsD8vF6A,192172.0,4.0,
2019-01-05,Lovely,Billie Eilish   Khalid,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4,200186.0,4.0,
2019-01-05,Ella Quiere Beber,Anuel AA   Romeo Santos,0.75,0.665,8.0,-3.083,1.0,0.124,0.265,0.0,0.0515,0.697,95.239,3f5lA8nnc4YYF1qf78WpHw,219357.0,4.0,
2019-01-05,Gun Smoke,21 Savage,0.809,0.461,10.0,-5.677,0.0,0.0907,0.000832,4.43e-05,0.143,0.325,85.992,4f1XXGjZZ9EkFkrbPJek6X,167410.0,4.0,
2019-01-05,Demons and Angels,A Boogie Wit da Hoodie  Juice WRLD,0.81,0.55,2.0,-7.46,0.0,0.17,0.0114,5.69e-06,0.107,0.183,76.503,3L19besdNQzd342qL78xqm,214593.0,4.0,
2019-01-05,ASMR,21 Savage,0.84,0.543,1.0,-7.738,1.0,0.476,0.0399,0.0,0.117,0.161,170.067,2QgfDF0fQ4sskDthP8MG5w,171714.0,4.0,
2019-01-05,Last Shot,Kip Moore,0.487,0.859,4.0,-4.403,1.0,0.0488,0.00204,0.0,0.322,0.377,148.037,6viHvc13l9A6Ua6xugpeX6,228480.0,4.0,
2019-01-05,Fine China,Future   Juice WRLD,0.656,0.542,7.0,-7.358,1.0,0.323,0.0484,0.0,0.126,0.551,166.111,5274I4mUMnYczyeXkGDWZN,141587.0,4.0,
2019-01-05,Envy Me,Calboy,0.74,0.488,1.0,-7.664,0.0,0.27,0.234,0.0,0.241,0.584,149.042,7rvyVWja33WG9R97oeJAjx,120133.0,4.0,
2019-01-05,Lost In Japan,Shawn Mendes Zedd,0.706,0.855,10.0,-5.377,1.0,0.215,0.0911,0.0,0.347,0.293,107.184,575NJxNUVDqwJGdzBrlLbv,201253.0,4.0,
2019-01-05,This Is It,Scotty McCreery,0.579,0.511,8.0,-6.788,1.0,0.0293,0.254,0.0,0.099,0.594,78.003,74CEfiZthUGX5yUNNUM4bj,230973.0,4.0,
2019-01-12,Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,6FZDfxM3a3UCqtzo5pxSLZ,201661.0,4.0,
2019-01-12,Thank U  Next,Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0,
2019-01-12,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,157560.0,4.0,
2019-01-12,Sicko Mode,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,312820.0,4.0,
2019-01-12,High Hopes,Panic  At The Disco,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947.0,4.0,
2019-01-12,Happier,Marshmello   Bastille,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.011,7BqHUALzNBTanL6OvsqmC1,214290.0,4.0,
2019-01-12,Girls Like You,Maroon 5  Cardi B,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,6V1bu6o1Yo5ZXnsCJU8Ovk,235545.0,4.0,
2019-01-12,Drip Too Hard,Lil Baby   Gunna,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,78QR3Wp35dqAhFEc2qAGjE,145543.0,4.0,
